Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness UAE-Paid Sessions-December,Initiative Cards,Brand Awareness UAE,Paid Sessions,December,0,"520,808","380,309","2,988,110"
Initiative Cards-Brand Awareness T2-Impressions-January,Initiative Cards,Brand Awareness T2,Impressions,January,"406,501,514","492,089,649","406,501,514","492,089,649"
Initiative Cards-Brand Awareness T2-Impressions-February,Initiative Cards,Brand Awareness T2,Impressions,February,"334,135,141","300,721,452","740,636,655","792,811,102"
Initiative Cards-Brand Awareness T2-Impressions-March,Initiative Cards,Brand Awareness T2,Impressions,March,"447,306,326","302,853,203","1,187,942,981","1,095,664,305"
Initiative Cards-Brand Awareness T2-Impressions-April,Initiative Cards,Brand Awareness T2,Impressions,April,0,"296,021,354","1,187,942,981","1,391,685,659"
Initiative Cards-Brand Awareness T2-Impressions-May,Initiative Cards,Brand Awareness T2,Impressions,May,0,"962,414,507","1,187,942,981","2,354,100,166"
Initiative Cards-Brand Awareness T2-Impressions-June,Initiative Cards,Brand Awareness T2,Impressions,June,0,"913,989,622","1,187,942,981","3,268,089,788"
Initiative Cards-Brand Awareness T2-Impressions-July,Initiative Cards,Brand Awareness T2,Impressions,July,0,"677,042,882","1,187,942,981","3,945,132,670"
Initiative Cards-Brand Awareness T2-Impressions-August,Initiative Cards,Brand Awareness T2,Impressions,August,0,"605,699,975","1,187,942,981","4,550,832,645"
Initiative Cards-Brand Awareness T2-Impressions-September,Initiative Cards,Brand Awareness T2,Impressions,September,0,"407,354,660","1,187,942,981","4,958,187,305"
Initiative Cards-Brand Awareness T2-Impressions-October,Initiative Cards,Brand Awareness T2,Impressions,October,0,"408,094,193","1,187,942,981","5,366,281,498"
Initiative Cards-Brand Awareness T2-Impressions-November,Initiative Cards,Brand Awareness T2,Impressions,November,0,"1,194,910,705","1,187,942,981","6,561,192,203"
Initiative Cards-Brand Awareness T2-Impressions-December,Initiative Cards,Brand Awareness T2,Impressions,December,0,"928,525,228","1,187,942,981","7,489,717,431"
Initiative Cards-Brand Awareness T2-Engagement-January,Initiative Cards,Brand Awareness T2,Engagement,January,"90,260,920","91,574,133","90,260,920","91,574,133"
Initiative Cards-Brand Awareness T2-Engagement-February,Initiative Cards,Brand Awareness T2,Engagement,February,"71,535,807","55,961,970","161,796,727","147,536,103"
Initiative Cards-Brand Awareness T2-Engagement-March,Initiative Cards,Brand Awareness T2,Engagement,March,"74,682,965","56,040,586","236,479,692","203,576,689"
Initiative Cards-Brand Awareness T2-Engagement-April,Initiative Cards,Brand Awareness T2,Engagement,April,0,"28,534,491","236,479,692","232,111,180"
Initiative Cards-Brand Awareness T2-Engagement-May,Initiative Cards,Brand Awareness T2,Engagement,May,0,"154,081,305","236,479,692","386,192,485"
Initiative Cards-Brand Awareness T2-Engagement-June,Initiative Cards,Brand Awareness T2,Engagement,June,0,"130,530,269","236,479,692","516,722,754"
Initiative Cards-Brand Awareness T2-Engagement-July,Initiative Cards,Brand Awareness T2,Engagement,July,0,"99,080,530","236,479,692","615,803,284"
Initiative Cards-Brand Awareness T2-Engagement-August,Initiative Cards,Brand Awareness T2,Engagement,August,0,"85,330,336","236,479,692","701,133,620"
Initiative Cards-Brand Awareness T2-Engagement-September,Initiative Cards,Brand Awareness T2,Engagement,September,0,"47,649,985","236,479,692","748,783,605"
Initiative Cards-Brand Awareness T2-Engagement-October,Initiative Cards,Brand Awareness T2,Engagement,October,0,"42,525,301","236,479,692","791,308,906"
Initiative Cards-Brand Awareness T2-Engagement-November,Initiative Cards,Brand Awareness T2,Engagement,November,0,"252,797,615","236,479,692","1,044,106,521"
Initiative Cards-Brand Awareness T2-Engagement-December,Initiative Cards,Brand Awareness T2,Engagement,December,0,"174,012,839","236,479,692","1,218,119,360"
Initiative Cards-Brand Awareness T2-Paid Sessions-January,Initiative Cards,Brand Awareness T2,Paid Sessions,January,"869,432","758,197","869,432","758,197"
Initiative Cards-Brand Awareness T2-Paid Sessions-February,Initiative Cards,Brand Awareness T2,Paid Sessions,February,"838,453","1,034,634","1,707,885","1,792,831"
Initiative Cards-Brand Awareness T2-Paid Sessions-March,Initiative Cards,Brand Awareness T2,Paid Sessions,March,"1,279,519","1,111,115","2,987,404","2,903,946"
Initiative Cards-Brand Awareness T2-Paid Sessions-April,Initiative Cards,Brand Awareness T2,Paid Sessions,April,0,"1,764,367","2,987,404","4,668,313"
Initiative Cards-Brand Awareness T2-Paid Sessions-May,Initiative Cards,Brand Awareness T2,Paid Sessions,May,0,"2,515,618","2,987,404","7,183,931"
Initiative Cards-Brand Awareness T2-Paid Sessions-June,Initiative Cards,Brand Awareness T2,Paid Sessions,June,0,"2,204,302","2,987,404","9,388,233"
Initiative Cards-Brand Awareness T2-Paid Sessions-July,Initiative Cards,Brand Awareness T2,Paid Sessions,July,0,"1,855,505","2,987,404","11,243,738"
Initiative Cards-Brand Awareness T2-Paid Sessions-August,Initiative Cards,Brand Awareness T2,Paid Sessions,August,0,"1,690,477","2,987,404","12,934,215"
Initiative Cards-Brand Awareness T2-Paid Sessions-September,Initiative Cards,Brand Awareness T2,Paid Sessions,September,0,"1,243,425","2,987,404","14,177,640"
Initiative Cards-Brand Awareness T2-Paid Sessions-October,Initiative Cards,Brand Awareness T2,Paid Sessions,October,0,"1,642,606","2,987,404","15,820,246"
Initiative Cards-Brand Awareness T2-Paid Sessions-November,Initiative Cards,Brand Awareness T2,Paid Sessions,November,0,"2,603,099","2,987,404","18,423,345"
Initiative Cards-Brand Awareness T2-Paid Sessions-December,Initiative Cards,Brand Awareness T2,Paid Sessions,December,0,"2,895,739","2,987,404","21,319,084"
