Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness T2-Impressions-November,Initiative Cards,Brand Awareness T2,Impressions,November,0,1237551850,2052545203,6561277703
Initiative Cards-Brand Awareness T2-Impressions-December,Initiative Cards,Brand Awareness T2,Impressions,December,0,928439729,2052545203,7489717432
Initiative Cards-Brand Awareness T2-Engagement-January,Initiative Cards,Brand Awareness T2,Engagement,January,90260920,91574133,90260920,91574132.85
Initiative Cards-Brand Awareness T2-Engagement-February,Initiative Cards,Brand Awareness T2,Engagement,February,71535807,55961970,161796727,147536102.9
Initiative Cards-Brand Awareness T2-Engagement-March,Initiative Cards,Brand Awareness T2,Engagement,March,74682965,56040586,236479692,203576689
Initiative Cards-Brand Awareness T2-Engagement-April,Initiative Cards,Brand Awareness T2,Engagement,April,28403456,21950923,264883148,225527612
Initiative Cards-Brand Awareness T2-Engagement-May,Initiative Cards,Brand Awareness T2,Engagement,May,142163913,139695096,407047061,365222708
Initiative Cards-Brand Awareness T2-Engagement-June,Initiative Cards,Brand Awareness T2,Engagement,June,0,139889227,407047061,505111935
Initiative Cards-Brand Awareness T2-Engagement-July,Initiative Cards,Brand Awareness T2,Engagement,July,0,106212115,407047061,611324050
Initiative Cards-Brand Awareness T2-Engagement-August,Initiative Cards,Brand Awareness T2,Engagement,August,0,85330136,407047061,696654186
Initiative Cards-Brand Awareness T2-Engagement-September,Initiative Cards,Brand Awareness T2,Engagement,September,0,49733964,407047061,746388150
Initiative Cards-Brand Awareness T2-Engagement-October,Initiative Cards,Brand Awareness T2,Engagement,October,0,43646976,407047061,790035126
Initiative Cards-Brand Awareness T2-Engagement-November,Initiative Cards,Brand Awareness T2,Engagement,November,0,254073102,407047061,1044108228
Initiative Cards-Brand Awareness T2-Engagement-December,Initiative Cards,Brand Awareness T2,Engagement,December,0,174011129,407047061,1218119357
Initiative Cards-Brand Awareness T2-Paid Sessions-January,Initiative Cards,Brand Awareness T2,Paid Sessions,January,869432,758197,869432,758197
Initiative Cards-Brand Awareness T2-Paid Sessions-February,Initiative Cards,Brand Awareness T2,Paid Sessions,February,838453,1034634,1707885,1792831
Initiative Cards-Brand Awareness T2-Paid Sessions-March,Initiative Cards,Brand Awareness T2,Paid Sessions,March,1279519,1111115,2987404,2903946
Initiative Cards-Brand Awareness T2-Paid Sessions-April,Initiative Cards,Brand Awareness T2,Paid Sessions,April,212079,129867,3199483,3033813
Initiative Cards-Brand Awareness T2-Paid Sessions-May,Initiative Cards,Brand Awareness T2,Paid Sessions,May,1302610,656595,4502093,3690408
Initiative Cards-Brand Awareness T2-Paid Sessions-June,Initiative Cards,Brand Awareness T2,Paid Sessions,June,0,3328052,4502093,7018460
Initiative Cards-Brand Awareness T2-Paid Sessions-July,Initiative Cards,Brand Awareness T2,Paid Sessions,July,0,2501176,4502093,9519636
Initiative Cards-Brand Awareness T2-Paid Sessions-August,Initiative Cards,Brand Awareness T2,Paid Sessions,August,0,1690173,4502093,11209809
Initiative Cards-Brand Awareness T2-Paid Sessions-September,Initiative Cards,Brand Awareness T2,Paid Sessions,September,0,1945656,4502093,13155465
Initiative Cards-Brand Awareness T2-Paid Sessions-October,Initiative Cards,Brand Awareness T2,Paid Sessions,October,0,2104633,4502093,15260098
Initiative Cards-Brand Awareness T2-Paid Sessions-November,Initiative Cards,Brand Awareness T2,Paid Sessions,November,0,3165400,4502093,18425498
Initiative Cards-Brand Awareness T2-Paid Sessions-December,Initiative Cards,Brand Awareness T2,Paid Sessions,December,0,2893587,4502093,21319085
